"id";"Nazwa";"Numer umowy/decyzji";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"1";"Łódzkie";"";"";"";"";"";11914578.0;11914578.0;10127391.0;10127391.0;"";"";"";"";"";"";"";"";"";"";"";"";""
"1-1";"Roczny Plan Realizacji Działań na rok 2008 w ramach Pomocy Technicznej Regionalnego Programu Operacyjnego Województwa Łódzkiego";"RPLD.07.01.00-00-001/08-05";"Regionalny Program Operacyjny Województwa Łódzkiego";"RPLD.07.00.00";"RPLD.07.01.00";"";"11,914,578.00";"11,914,578.00";"10,127,391.00";"10,127,391.00";"Urząd Marszałkowski w Łodzi";"7251708148";"90-051";"Łódź";"Łódzkie";"Powiat m. Łódź";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2008/12/30";"2009/06/24"
"2";"Mazowieckie";"";"";"";"";"";3840476.0;3840476.0;3264404.6;3264404.6;"";"";"";"";"";"";"";"";"";"";"";"";""
"2-1";"ROCZNY PLAN DZIAŁAŃ POMOCY TECHNICZNEJ RPO WM na 2008 rok. w zakresie wsparcia procesów zarządzania i wdrażania RPO WM";"RPMA.08.01.00-14-005/08-01";"Regionalny Program Operacyjny Województwa Mazowieckiego";"RPMA.08.00.00";"RPMA.08.01.00";"";"3,840,476.00";"3,840,476.00";"3,264,404.60";"3,264,404.60";"Urząd Marszałkowski Województwa Mazowieckiego";"5252087227";"03-719";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"RPMA.08.01.00-14-005/08-04";"Tak";"2008/12/02";"2008/12/05"
"3";"Małopolskie";"";"";"";"";"";982350.0;980350.0;833297.0;833297.0;"";"";"";"";"";"";"";"";"";"";"";"";""
"3-1";"Pomoc Techniczna Priorytet 9 MRPO - delegacje zagraniczne";"RPMP.09.01.00-12-021/08-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"22,350.00";"22,350.00";"18,997.00";"18,997.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-021/08-06";"Tak";"2008/07/03";"2008/08/20"
"3-2";"Pomoc Techniczna Priorytet 9 MRPO - Podróże służbowe";"RPMP.09.02.00-12-018/08-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.02.00";"";"12,000.00";"12,000.00";"10,200.00";"10,200.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.02.00-12-018/08-08";"Tak";"2008/05/29";"2008/08/21"
"3-3";"Działalność informacyjno - promocyjna Instytucji Pośredniczącej II stopnia dla 2 osi priorytetowej MRPO ""Gospodarka regionalnej szansy"" - Priorytet 9 PT MRPO";"RPMP.09.02.00-12-020/08-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.02.00";"";"350,000.00";"350,000.00";"297,500.00";"297,500.00";"Małopolskie Centrum Przedsiębiorczości";"6751378475";"31-542";"Kraków";"Małopolskie";"Powiat m. Kraków";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.02.00-12-020/08-08";"Tak";"2008/05/08";"2008/08/20"
"3-4";"Działalność informacyjno - promocyjna Instytuacji Pośredniczącej II stopnia dla 2 osi priorytetowej MRPO ""Gospodarka regionalnej szansy"" - w 2009 roku - PT MRPO";"RPMP.09.02.00-12-038/09-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.02.00";"";"598,000.00";"596,000.00";"506,600.00";"506,600.00";"Małopolskie Centrum Przedsiębiorczości";"6751378475";"31-542";"Kraków";"Małopolskie";"Powiat m. Kraków";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.02.00-12-038/09-12";"Tak";"2008/12/22";"2009/02/04"
"4";"Pomorskie";"";"";"";"";"";6928151.94;6928151.94;5196113.93;5196113.93;"";"";"";"";"";"";"";"";"";"";"";"";""
"4-1";"Wsparcie procesu zarządzania i wdrażania RPO WP w 2007 roku.";"RPPM.10.01.00-00-001/08-01";"Regionalny Program Operacyjny Województwa Pomorskiego";"RPPM.10.00.00";"RPPM.10.01.00";"";"1,212,722.63";"1,212,722.63";"909,541.95";"909,541.95";"Samorząd Województwa Pomorskiego";"5832569948";"80-810";"Gdańsk";"Pomorskie";"Powiat m. Gdańsk";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wspólnota samorządowa - województwo";"00 Nie dotyczy";"";"";"2008/06/26";"2009/04/17"
"4-2";"Informacja i komunikacja w 2008 roku";"RPPM.10.02.00-00-001/08-03";"Regionalny Program Operacyjny Województwa Pomorskiego";"RPPM.10.00.00";"RPPM.10.02.00";"";"2,172,000.00";"2,172,000.00";"1,629,000.00";"1,629,000.00";"Samorząd Województwa Pomorskiego";"5832569948";"80-810";"Gdańsk";"Pomorskie";"Powiat m. Gdańsk";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wspólnota samorządowa - województwo";"00 Nie dotyczy";"RPPM.10.02.00-00-001/08-06";"Tak";"2008/12/31";"2009/01/15"
"4-3";"Informacja i komunikacja w 2009 roku.";"RPPM.10.02.00-00-002/08-00";"Regionalny Program Operacyjny Województwa Pomorskiego";"RPPM.10.00.00";"RPPM.10.02.00";"";"3,146,000.00";"3,146,000.00";"2,359,500.00";"2,359,500.00";"Samorząd Województwa Pomorskiego";"5832569948";"80-810";"Gdańsk";"Pomorskie";"Powiat m. Gdańsk";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wspólnota samorządowa - województwo";"00 Nie dotyczy";"RPPM.10.02.00-00-002/08-09";"Nie";"2008/12/29";"2009/01/08"
"4-4";"Wsparcie procesu przygotowania i wdrażania projektów w 2007 roku.";"RPPM.10.03.00-00-001/08-00";"Regionalny Program Operacyjny Województwa Pomorskiego";"RPPM.10.00.00";"RPPM.10.03.00";"";"27,429.31";"27,429.31";"20,571.98";"20,571.98";"Samorząd Województwa Pomorskiego";"5832569948";"80-810";"Gdańsk";"Pomorskie";"Powiat m. Gdańsk";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wspólnota samorządowa - województwo";"00 Nie dotyczy";"RPPM.10.03.00-00-001/08-01";"Tak";"2008/06/24";"2008/07/04"
"4-5";"Wsparcie procesu przygotowania i wdrażania projektów w 2008 roku";"RPPM.10.03.00-00-002/08-02";"Regionalny Program Operacyjny Województwa Pomorskiego";"RPPM.10.00.00";"RPPM.10.03.00";"";"80,000.00";"80,000.00";"60,000.00";"60,000.00";"Samorząd Województwa Pomorskiego";"5832569948";"80-810";"Gdańsk";"Pomorskie";"Powiat m. Gdańsk";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wspólnota samorządowa - województwo";"00 Nie dotyczy";"RPPM.10.03.00-00-002/08-03";"Tak";"2008/12/12";"2008/12/15"
"4-6";"Wsparcie procesu przygotowania i wdrażania projektów w 2009 roku.";"RPPM.10.03.00-00-003/08-01";"Regionalny Program Operacyjny Województwa Pomorskiego";"RPPM.10.00.00";"RPPM.10.03.00";"";"290,000.00";"290,000.00";"217,500.00";"217,500.00";"Samorząd Województwa Pomorskiego";"5832569948";"80-810";"Gdańsk";"Pomorskie";"Powiat m. Gdańsk";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wspólnota samorządowa - województwo";"00 Nie dotyczy";"RPPM.10.03.00-00-003/08-08";"Nie";"2008/12/29";"2009/06/05"
"5";"Śląskie";"";"";"";"";"";3888660.0;3888660.0;3888660.0;3888660.0;"";"";"";"";"";"";"";"";"";"";"";"";""
"5-1";"Roczny Plan Działań na rok 2008 w ramach Działania 10.1 Wsparcie procesu zarządzania i wdrażania.";"RPSL.10.01.00-00-004/08-00";"Regionalny Program Operacyjny Województwa Śląskiego";"RPSL.10.00.00";"RPSL.10.01.00";"";"3,718,660.00";"3,718,660.00";"3,718,660.00";"3,718,660.00";"Śląskie Centrum Przedsiębiorczości ";"9542613270";"41-500";"Chorzów";"Śląskie";"Powiat m. Chorzów";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"RPSL.10.01.00-00-004/08-03";"Tak";"2008/07/31";"2008/08/12"
"5-2";"Roczny Plan Działań na rok 2008 w ramach Działania 10.2 Działania informacyjne i promocyjne.";"RPSL.10.02.00-00-003/08-01";"Regionalny Program Operacyjny Województwa Śląskiego";"RPSL.10.00.00";"RPSL.10.02.00";"";"170,000.00";"170,000.00";"170,000.00";"170,000.00";"Śląskie Centrum Przedsiębiorczości ";"9542613270";"41-500";"Chorzów";"Śląskie";"Powiat m. Chorzów";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"RPSL.10.02.00-00-003/08-03";"Tak";"2008/09/30";"2008/10/31"
"6";"Wielkopolskie";"";"";"";"";"";4613891.75;4613891.75;4613891.75;4613891.75;"";"";"";"";"";"";"";"";"";"";"";"";""
"6-1";"Konsultacje i negocjacje WRPO";"RPWP.07.01.00-30-004/08-00";"Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013";"RPWP.07.00.00";"RPWP.07.01.00";"";"136,051.72";"136,051.72";"136,051.72";"136,051.72";"Urząd Marszałkowski Województwa Wielkopolskiego";"7781344777";"61-713";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wspólnota samorządowa - województwo";"01 Obszar miejski";"RPWP.07.01.00-30-004/08-01";"Tak";"2008/07/08";"2008/07/10"
"6-2";"Szkolenia, kursy językowe i studia podyplomowe dla pracowników zaangażowanych w zarządzanie i wdrażanie WRPO";"RPWP.07.01.00-30-005/08-00";"Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013";"RPWP.07.00.00";"RPWP.07.01.00";"";"224,393.53";"224,393.53";"224,393.53";"224,393.53";"Urząd Marszałkowski Województwa Wielkopolskiego";"7781344777";"61-713";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wspólnota samorządowa - województwo";"01 Obszar miejski";"RPWP.07.01.00-30-005/08-01";"Tak";"2008/07/08";"2008/07/10"
"6-3";"Koszty kontroli projektów WRPO";"RPWP.07.01.00-30-010/08-01";"Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013";"RPWP.07.00.00";"RPWP.07.01.00";"";"25,000.00";"25,000.00";"25,000.00";"25,000.00";"Urząd Marszałkowski Województwa Wielkopolskiego";"7781344777";"61-713";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wspólnota samorządowa - województwo";"01 Obszar miejski";"RPWP.07.01.00-30-010/08-02";"Tak";"2008/10/16";"2008/10/20"
"6-4";"Ocena i ewaluacja WRPO";"RPWP.07.01.00-30-011/08-00";"Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013";"RPWP.07.00.00";"RPWP.07.01.00";"";"120,000.00";"120,000.00";"120,000.00";"120,000.00";"Urząd Marszałkowski Województwa Wielkopolskiego";"7781344777";"61-713";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wspólnota samorządowa - województwo";"01 Obszar miejski";"RPWP.07.01.00-30-011/08-01";"Tak";"2008/07/08";"2008/07/11"
"6-5";"Koszty wykonywania funkcji Instytucji Zarządzającej oraz obsługi Komitetu Monitorującego";"RPWP.07.01.00-30-012/08-01";"Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013";"RPWP.07.00.00";"RPWP.07.01.00";"";"201,650.00";"201,650.00";"201,650.00";"201,650.00";"Urząd Marszałkowski Województwa Wielkopolskiego";"7781344777";"61-713";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wspólnota samorządowa - województwo";"01 Obszar miejski";"RPWP.07.01.00-30-012/08-03";"Tak";"2008/10/16";"2008/10/20"
"6-6";"Szkolenia, kursy językowe i studia podyplomowe dla pracowników zaangażowanych w zarządzanie i wdrażanie WRPO";"RPWP.07.01.00-30-013/08-01";"Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013";"RPWP.07.00.00";"RPWP.07.01.00";"";"938,965.00";"938,965.00";"938,965.00";"938,965.00";"Urząd Marszałkowski Województwa Wielkopolskiego";"7781344777";"61-713";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wspólnota samorządowa - województwo";"01 Obszar miejski";"RPWP.07.01.00-30-013/08-04";"Tak";"2008/10/16";"2008/10/20"
"6-7";"Promocja, informacja i szkolenia WRPO";"RPWP.07.02.00-30-001/08-00";"Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013";"RPWP.07.00.00";"RPWP.07.02.00";"";"587,541.50";"587,541.50";"587,541.50";"587,541.50";"Urząd Marszałkowski Województwa Wielkopolskiego";"7781344777";"61-713";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wspólnota samorządowa - województwo";"01 Obszar miejski";"RPWP.07.02.00-30-001/08-01";"Tak";"2008/07/08";"2008/07/10"
"6-8";"Promocja, informacja i szkolenia WRPO";"RPWP.07.02.00-30-002/08-02";"Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013";"RPWP.07.00.00";"RPWP.07.02.00";"";"2,380,290.00";"2,380,290.00";"2,380,290.00";"2,380,290.00";"Urząd Marszałkowski Województwa Wielkopolskiego";"7781344777";"61-713";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wspólnota samorządowa - województwo";"01 Obszar miejski";"RPWP.07.02.00-30-002/08-03";"Tak";"2008/10/16";"2008/10/20"
"7";"Zachodniopomorskie";"";"";"";"";"";80692.63;80692.63;80692.63;80692.63;"";"";"";"";"";"";"";"";"";"";"";"";""
"7-1";"Prowadzenie działań infomracyjno-promocyjnych RPO WZ w roku 2007";"RPZP.08.02.00-32-001/07-00";"Regionalny Program Operacyjny Województwa Zachodniopomorskiego";"RPZP.08.00.00";"RPZP.08.02.00";"";"80,692.63";"80,692.63";"80,692.63";"80,692.63";"Województwo Zachodniopomorskie";"8512871498";"70-540";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wspólnota samorządowa - województwo";"01 Obszar miejski";"RPZP.08.02.00-32-001/07-01";"Tak";"2008/04/25";"2008/05/27"
